"nest_code";"nestmix";"epy3";"CODESTART";"CODEEND";"HATCH.DAY";"END.DAY";"year";"ring";"sex";"average_31_before";"min_31_period";"max_31_period";"X60_after";"min_60";"max_60";"average_preciti_31";"XX_NA";"box";"id";"xf";"boxor";"fring";"hlf";"gs1";"mring";"hlm";"fage";"mage";"gs2";"idor";"xfblock";"eblock";"code";"ring.1";"exp";"mani";"treatment";"exp.1";"epy3.1";"sex.1";"mass2";"mass11";"mass12";"mass14";"rtars14";"pha";"pha.1";"PHA";"X";"TEMP_BROOD";"PRCP_BROOD"
"AN1A2015";"WPO";0;2015144;2015158;NA;NA;2015;"1EX15964";"F";6.212903226;0;21.9;11.59583333;0;30.7;5.419354839;10.7425;"AN1A";NA;NA;"AN1A";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"F";"1EX28063";"T4";NA;"experimental nests";"HO";"WPY";"F";1.86;NA;NA;NA;"16.31";NA;NA;21.33333333;NA;11.18;10.6
"SK34A2015";"WPO";0;2015146;2015160;NA;NA;2015;"1EX15836";"M";6.212903226;0;21.9;11.59583333;0;30.7;5.419354839;10.7425;"SK34A";NA;NA;"SK34A";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"AB";"1EX14944";"C";NA;"experimental nests";"HO";"WPY";"M";2.08;NA;11.2;11.74;"17.42";NA;NA;21.66666667;NA;11.3133333333333;10.6
"SK34A2015";"WPO";0;2015146;2015160;NA;NA;2015;"1ET97938";"F";6.212903226;0;21.9;11.59583333;0;30.7;5.419354839;10.7425;"SK34A";NA;NA;"SK34A";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"B";"1EX14943";NA;NA;"CONTROL NESTS";"nonmanipulated";"WPY";"F";NA;"6.5";7.7;9.55;"15.1";22;23;22;NA;11.3133333333333;10.6
"OL16A2015";"WPO";0;2015143;2015157;NA;NA;2015;"1EX15906";"F";6.212903226;0;21.9;11.59583333;0;30.7;5.419354839;10.7425;"OL16A";NA;NA;"RN34A";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"F";"1EX28111";"T4";NA;"experimental nests";"HO";"WPY";"F";1.7;NA;NA;11.25;"16.23";NA;NA;22.66666667;NA;11.0866666666667;10.6
"PS08A2015";"WPO";0;2015149;2015163;NA;NA;2015;"1EX14248";"F";6.212903226;0;21.9;11.59583333;0;30.7;5.419354839;10.7425;"PS8A";NA;NA;"PS8A";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"G";"1EX14757";NA;NA;"CONTROL NESTS";"nonmanipulated";"WPY";"F";1.12;"9.6";9.9;NA;"17.31";23;23;23;NA;11.7733333333333;9.6
"FO36A2015";"WPO";0;2015145;2015159;NA;NA;2015;"1EX15957";"F";6.212903226;0;21.9;11.59583333;0;30.7;5.419354839;10.7425;"FO36A";NA;NA;"RN34A";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"E";"1EX28007";"C";NA;"experimental nests";"HO";"WPY";"F";1.6;"9.5";NA;NA;"15.66";NA;NA;23.33333333;NA;11.3533333333333;10.6
"FON104A2015";"WPO";0;2015142;2015156;NA;NA;2015;"1EX14127";"F";6.212903226;0;21.9;11.59583333;0;30.7;5.419354839;10.7425;"FON104A";NA;NA;"FON104A";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1EX28176";"CORT";NA;"experimental nests";"CORT";"WPY";"F";2.4;"9.7";NA;NA;"16.3";NA;NA;24;NA;10.9;11
"RE06B2015";"WPO";0;2015147;2015161;NA;NA;2015;"1EX15861";"M";6.212903226;0;21.9;11.59583333;0;30.7;5.419354839;10.7425;"RE6B";"";NA;"RE6B";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"C";"1EX14920";NA;NA;"CONTROL NESTS";"nonmanipulated";"WPY";"M";1.6;"11.9";12.2;13.54;"17.38";26;25;24;NA;11.3666666666667;10.6
"OJ104A2015";"WPO";0;2015147;2015161;NA;NA;2015;"1EX14202";"M";6.212903226;0;21.9;11.59583333;0;30.7;5.419354839;10.7425;"OJ104A";NA;NA;"OJ104A";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"F";"1EX14932";NA;NA;"CONTROL NESTS";"nonmanipulated";"WPY";"M";1.63;NA;NA;11.19;"17.48";25;24;24;NA;11.3666666666667;10.6
"OL03A2015";"WPO";0;2015144;2015158;NA;NA;2015;"1EX15951";"F";6.212903226;0;21.9;11.59583333;0;30.7;5.419354839;10.7425;"OL3A";NA;NA;"RW17B";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"D";"1EX28037";"CORT";NA;"experimental nests";"HO";"WPY";"F";3;NA;NA;NA;"16.78";NA;NA;24.66666667;NA;11.18;10.6
